id,nome_fantasia,categoria,bairro,endereco,faturamento_mensal_estimado,possui_google,possui_instagram,possui_whatsapp,avaliacao_google,num_avaliacoes_google,n_funcionarios,anos_atividade
26,Presentes & Cia Express,Varejo Diverso,Centro,"Rua Hermogênio Veloso, 129",32193.94,Não,sim ,Nao,,,2,2.4
76,ELÉTRICA & HIDRÁULICA JM,Construção e Reforma,Jóquei Clube,"Av. das Palmeiras, 2373",,não,s, Sim,,,6,10.7
59,Assistência Técnica Cell+ Express,SERVIÇOS GERAIS,Amorim,"Av. Minas Gerais, 81","R$ 28.105,08",Nao,não,1,,,5,8.5
23,Tintas Colorir Prime,Construção e Reforma,São Sebastião,"Rua Pedro Nasciutti, 1174",1500,s,nao,SIM,4.7,286,5,9.7
159,espaço zen estética,Beleza e Estética,Rosário,"Av. das Palmeiras, 2034",12324.08,1,N,1,,,1,14.7
120,FISIO + SAÚDE EXPRESS,Saúde,Independência,"Av. das Palmeiras, 1642",,SIM,Nao,sim ,,,2,16.4
199,Chaveiro 24h Express,SERVIÇOS GERAIS,Jóquei Clube,"Av. Coronel Teodolino Pereira de Araújo, 2166",3919.63,S,S,s,4.1,589,1,24.7
154,Presentes & Cia Express,Varejo Diverso,Jóquei Clube,"Av. Minas Gerais, 1128",9152.46,nao,SIM,1,,,5,16.0
124,Moto Peças Rosário Jr.,Automotivo,Rosário,"Rua Hermogênio Veloso, 1126","R$ 7.093,81",1,Sim, Sim,4.4,256,2,21.8
216,Curso Preparatório Aprova Jr.,Educação,Rosário,"Rua Hermogênio Veloso, 1745","R$ 7.463,18",Não,não,Nao,,,2,7.4
189,Lava Jato Estrela Express,Automotivo,Centro,"Av. das Palmeiras, 1639",18364.55, Sim, Sim,sim ,4.2,591,1,11.2
90,Presentes & Cia Prime,Varejo Diverso,Rosário,"Av. Senador Melo Viana, 373","R$ 41.941,25", Sim,nao,s,4.7,794,10,6.4
75,oficina do paulinho prime,Automotivo,Amorim,"Rua Florestina Quintino, 1831","R$ 13.775,49",Não,Sim,s,,,2,11.7
172,marcenaria arte madeira express,Construção e Reforma,Sibipiruna,"Rua Hermogênio Veloso, 660",16991.13,1,,Sim,,,2,25.4
24,elétrica & hidráulica jm ii,Construção e Reforma,Centro,"Av. Minas Gerais, 2408",30114.38,Sim,sim ,sim ,,,8,24.0
15,Assistência Notebook Já II,Tecnologia e Informática, Centro ,"Av. Senador Melo Viana, 711",9379.3,S,n,S,,,1,3.6
65,ESCOLA DE IDIOMAS FALA MUNDO JR.,Educação,Novo Horizonte,"Av. Coronel Teodolino Pereira de Araújo, 1482","R$ 33.480,87",n,não,NÃO,,,5,15.9
93,Assistência Notebook Já Jr.,Tecnologia e Informática,Centro,"Rua Florestina Quintino, 1258",1500,1,SIM,SIM,4.5,666,3,24.0
12,Sabor Mineiro,Alimentação,Bosque,"Rua Pedro Nasciutti, 2421",20929.9,S,NÃO, Sim,4.3,694,2,16.6
162,LOJA ESTILO JOVEM PRIME,Vestuário,Rosário,"Av. Minas Gerais, 966","R$ 20.916,07",nao,s,nao,,,8,25.1
83,Boutique Elegance Jr.,Vestuário, Independência ,"Rua Hermogênio Veloso, 1065","R$ 29.515,07",Não,sim , Sim,,,3,12.0
59,Assistência Técnica Cell+ Express,SERVIÇOS GERAIS,Amorim,"Av. Minas Gerais, 81","R$ 28.105,08",Nao,não,1,,,5,8.5
148,MOTO PEÇAS ROSÁRIO II,Automotivo,Centro,"Av. Minas Gerais, 655",26323.07,SIM,NÃO,1,3.5,824,,24.2
19,ELÉTRICA & HIDRÁULICA JM JR.,Construção e Reforma,Centro,"Rua Rui Barbosa, 1280",5120.19,s,n,sim ,4.0,683,8,19.7
67,MARCENARIA ARTE MADEIRA PRIME,Construção e Reforma,Centro,"Rua Pedro Nasciutti, 1869",13396.71,0,Nao,S,,,4,9.0
89,Marcenaria Arte Madeira Express,Construção e Reforma,Centro,"Av. Senador Melo Viana, 2335","R$ 30.783,11",sim ,nao,s,4.4,627,4,19.5
179,Brechó Retrô Jr.,Vestuário,Centro,"Rua Rui Barbosa, 1659","R$ 38.580,48",Nao,N,Sim,,,8,1.8
79,BOUTIQUE ELEGANCE EXPRESS,Vestuário,Santa Helena,"Rua Hermogênio Veloso, 2203",7643.06,n,1,S,,,2,3.9
150,Salão Beleza Pura Prime,BELEZA E ESTÉTICA,Centro,"Rua Florestina Quintino, 368","R$ 47.900,02",sim ,SIM,NÃO,3.6,582,2,18.1
55,chaveiro 24h prime,Serviços Gerais,Centro,"Rua Hermogênio Veloso, 324","R$ 10.253,84",Sim,NÃO, Sim,4.4,386,2,21.0
22,Sapataria Central,Vestuário,Centro,"Rua Marciano Santos, 1070",15891.76,NÃO, Sim,SIM,,,10,18.9
226,Doceria Sonho Doce Prime,ALIMENTAÇÃO,Amorim,"Rua Hermogênio Veloso, 1261",15518.33,S,sim , Sim,4.7,570,1,21.8
37,empório araguari prime,Alimentação, Portal de Fátima ,"Av. Coronel Teodolino Pereira de Araújo, 1977",40666.36,0,nao,SIM,,,3,12.5
213,InfoTech Araguari Jr.,Tecnologia e Informática, Novo Horizonte ,"Rua Marciano Santos, 2237",23410.41,0,nao,sim ,,,,24.1
174,salão beleza pura jr.,Beleza e Estética,Portal de Fátima,"Av. Coronel Teodolino Pereira de Araújo, 513","R$ 21.530,47",Não,1,SIM,,,2,11.9
206,Material de Construção Alvorada Prime,Construção e Reforma, Rosário ,"Av. Senador Melo Viana, 1686",15463.56,n, Sim,S,,,4,14.7
201,Marmitaria Dona Cida Express,ALIMENTAÇÃO,Centro,"Rua Marciano Santos, 54",29880.29,n,S, Sim,,,6,24.6
51,presentes & cia,Varejo Diverso, São Sebastião ,"Av. Senador Melo Viana, 827",10219.1,0,Sim,Nao,,,2,18.1
208,Loja Gamer Level Up Express,Tecnologia e Informática, Rosário ,"Rua Rui Barbosa, 1106",,Nao,Nao,1,,,6,11.8
209,ESCOLA DE IDIOMAS FALA MUNDO JR.,EDUCAÇÃO,Miranda,"Rua Pedro Nasciutti, 2093",33478.97,SIM,Nao,1,4.8,278,5,6.2
25,Contabilidade Prática Prime,Serviços Gerais,Miranda,"Rua Marciano Santos, 160",16512.84,Não,NÃO,s,,,8,4.2
13,Marcenaria Arte Madeira II,CONSTRUÇÃO E REFORMA,Rosário,"Rua Rui Barbosa, 350",17877.42,,nao,não,,,6,24.7
220,Acarajé da Leninha Express,Alimentação, Miranda ,"Rua Pedro Nasciutti, 2166",23991.72,nao,sim ,s,,,,22.7
133,Moda Mineira II,Vestuário,Miranda,"Av. Coronel Teodolino Pereira de Araújo, 1979",1500,NÃO,Sim,NÃO,,,1,7.7
102,elétrica & hidráulica jm jr.,Construção e Reforma,Amorim,"Rua Hermogênio Veloso, 1569","R$ 10.650,11",s,Nao,Sim,3.9,264,5,10.9
63,ASSISTÊNCIA NOTEBOOK JÁ JR.,Tecnologia e Informática,Novo Horizonte,"Rua Rui Barbosa, 2483",30291.05, Sim,S,S,4.0,61,1,12.9
144,PNEU & CIA,Automotivo,Ouro Verde,"Av. Coronel Teodolino Pereira de Araújo, 1176","R$ 31.240,14",SIM,Não,S,3.3,702,3,17.5
117,Bazar Central Prime,Varejo Diverso, São Sebastião ,"Rua Pedro Nasciutti, 1504","R$ 15.638,83",Não,n,1,,,6,27.1
116,Tintas Colorir II,Construção e Reforma,Centro,"Rua Pedro Nasciutti, 1084",5598.24,n,n,Sim,,,10,27.7
194,Sapataria Central Express,VESTUÁRIO,Bosque,"Av. Senador Melo Viana, 623",13933.74,SIM,sim ,s,4.1,114,2,2.6
134,Churrascaria Boi na Brasa Prime,Alimentação,Ouro Verde,"Rua Pedro Nasciutti, 686",12648.98, Sim,S,s,3.5,88,2,19.2
10,Pão & Prosa,Alimentação, Novo Horizonte ,"Rua Marciano Santos, 451",,S,1,Sim,3.7,258,2,26.0
225,Bazar Central Jr.,Varejo Diverso,Centro,"Rua Hermogênio Veloso, 840",, Sim,N,s,5.0,810,3,7.4
138,marmitaria dona cida,Alimentação,Centro,"Rua Pedro Nasciutti, 1950",21752.52, Sim,Nao,s,3.2,208,,21.4
101,MARCENARIA ARTE MADEIRA JR.,Construção e Reforma,Rosário,"Av. das Palmeiras, 2198","R$ 41.916,43",n,n,SIM,,,5,10.9
81,Confecções Amorim Jr.,VESTUÁRIO,Independência,"Rua Florestina Quintino, 2358",,1,Sim,Sim,4.9,160,1,26.6
98,Utilidades Lar Doce Lar II,Varejo Diverso,Centro,"Rua Marciano Santos, 594",19609.63,sim ,NÃO,não,4.8,389,,11.3
11,LOJA ESTILO JOVEM EXPRESS,Vestuário,Centro,"Rua Marciano Santos, 2043","R$ 15.109,14",nao,SIM,Sim,,,3,20.7
104,Salão Dona Flor Jr.,Beleza e Estética,Independência,"Rua Pedro Nasciutti, 1568","R$ 11.107,83",Não,Nao,s,,,3,0.9
157,Moto Peças Rosário Express,Automotivo,Centro,"Rua Rui Barbosa, 2354",495144.24,1,nao,1,4.2,599,,24.7
64,assistência notebook já prime,TECNOLOGIA E INFORMÁTICA,Novo Horizonte,"Rua Hermogênio Veloso, 2196",23894.14,SIM,N,sim ,4.1,179,5,11.2
118,CHAVEIRO 24H JR.,Serviços Gerais,Centro,"Rua Florestina Quintino, 150",20112.96,sim ,n,Sim,4.0,698,2,23.4
84,LABORATÓRIO BIOANÁLISE JR.,Saúde, Jóquei Clube ,"Av. das Palmeiras, 2120",17669.53,Nao,Nao,N,,,1,1.9
171,pet shop amigo fiel express,Serviços Gerais,Centro,"Av. Senador Melo Viana, 516",17855.37, Sim,Nao,S,4.0,110,4,21.9
113,BAZAR CENTRAL EXPRESS,Varejo Diverso,Miranda,"Rua Marciano Santos, 1044",31398.89,não,n,SIM,,,3,7.9
46,Loja Gamer Level Up Jr.,Tecnologia e Informática,Rosário,"Av. Senador Melo Viana, 139",11017.74,n,sim ,Sim,,,3,24.3
17,Farmácia Popular II,SAÚDE,Portal de Fátima,"Rua Hermogênio Veloso, 961","R$ 38.095,24",0,sim ,sim ,,,4,6.6
238,Reforço Escolar Aprender+ II,Educação,Centro,"Av. Minas Gerais, 1213","R$ 17.698,78",s,nao,Sim,3.9,682,10,18.5
231,Curso Preparatório Aprova Jr.,Educação,Miranda,"Rua Hermogênio Veloso, 1882",23384.53,Não,s,Sim,,,5,16.9
57,Curso Preparatório Aprova,EDUCAÇÃO,Jóquei Clube,"Av. Senador Melo Viana, 168","R$ 26.654,84",nao,N,sim ,,,1,5.5
203,PÃO & PROSA PRIME,Alimentação,São Sebastião,"Av. das Palmeiras, 884",8165.46,1,S, Sim,4.7,436,3,10.7
70,lava jato estrela jr.,Automotivo,Jóquei Clube,"Av. Minas Gerais, 374",,Nao,não,S,,,3,15.0
4,MARCENARIA ARTE MADEIRA,Construção e Reforma,Centro,"Rua Hermogênio Veloso, 635","R$ 16.312,13",SIM,s,S,4.8,325,,7.7
105,TINTAS COLORIR JR.,Construção e Reforma,Goiás,"Rua Hermogênio Veloso, 1937","R$ 12.857,59",N,não,SIM,,,,13.9
9,Pneu & Cia,Automotivo,Ouro Verde,"Rua Rui Barbosa, 447",3624.11,N,n, Sim,,,10,24.3
58,FISIO + SAÚDE,Saúde,São Sebastião,"Rua Rui Barbosa, 265","R$ 1.500,00",1,Não,s,3.8,381,2,8.0
50,PRESENTES & CIA EXPRESS,Varejo Diverso,Ouro Verde,"Rua Marciano Santos, 1766",24284.39,s,não, Sim,4.2,400,2,3.2
42,BOUTIQUE ELEGANCE EXPRESS,Vestuário,São Sebastião,"Av. Coronel Teodolino Pereira de Araújo, 2078",19355.08,não,,S,,,6,24.4
229,churrascaria boi na brasa jr.,Alimentação, Independência ,"Rua Pedro Nasciutti, 2227",7573.17,Nao,S,s,,,4,16.2
122,Clínica Vida Plena Prime,Saúde,Independência,"Av. Coronel Teodolino Pereira de Araújo, 816","R$ 7.331,27", Sim,Não,1,4.9,180,6,26.7
126,Material de Construção Alvorada II,Construção e Reforma,Sibipiruna,"Rua Florestina Quintino, 1063",10396.79,n,0,SIM,,,3,17.9
100,Sabor Mineiro Express,Alimentação,Rosário,"Rua Florestina Quintino, 2415",22905.25,N,SIM,nao,,,3,27.6
192,REFORÇO ESCOLAR APRENDER+ II,Educação,Centro,"Rua Hermogênio Veloso, 2301",,s,Sim,sim ,3.3,772,2,5.9
96,Confecções Amorim,Vestuário,Novo Horizonte,"Rua Marciano Santos, 663","R$ 18.096,44",, Sim,Sim,,,2,6.1
167,Clínica Vida Plena Jr.,SAÚDE,Centro,"Rua Pedro Nasciutti, 740",29553.15,SIM,0,1,3.5,652,2,4.1
121,Marcenaria Arte Madeira II,CONSTRUÇÃO E REFORMA,Centro,"Av. Senador Melo Viana, 2467","R$ 28.055,58",SIM,N,Sim,4.7,635,4,8.9
98,Utilidades Lar Doce Lar II,Varejo Diverso,Centro,"Rua Marciano Santos, 594",19609.63,sim ,NÃO,não,4.8,389,,11.3
129,LAVANDERIA LIMPA TUDO JR.,Serviços Gerais,Centro,"Av. das Palmeiras, 423",27258.24,Sim,SIM,0,3.9,315,2,4.1
224,Livraria Saber Jr.,Varejo Diverso,Novo Horizonte,"Av. Minas Gerais, 2430",57227.89, Sim,não,sim ,3.7,125,2,7.3
123,Utilidades Lar Doce Lar Prime,Varejo Diverso,Centro,"Rua Hermogênio Veloso, 2366",13538.27,1, Sim,S,3.7,284,,3.6
21,SALÃO DONA FLOR JR.,Beleza e Estética,Miranda,"Rua Rui Barbosa, 1915",26884.33,Nao,s,s,,,8,14.1
92,Livraria Saber Jr.,Varejo Diverso,Amorim,"Av. Minas Gerais, 1676",9639.52,SIM,nao,Sim,4.9,182,1,8.7
200,Barbearia Corte Fino Express,Beleza e Estética,Goiás,"Rua Florestina Quintino, 1907",9145.06,Sim,SIM, Sim,4.6,641,8,4.1
134,Churrascaria Boi na Brasa Prime,Alimentação,Ouro Verde,"Rua Pedro Nasciutti, 686",12648.98, Sim,S,s,3.5,88,2,19.2
182,Sapataria Central Jr.,VESTUÁRIO,Centro,"Rua Hermogênio Veloso, 2437",8934.26,s,n,s,4.3,730,,8.4
184,Tintas Colorir II,Construção e Reforma,Portal de Fátima,"Rua Florestina Quintino, 2311",,nao,SIM,S,,,10,23.3
153,Oficina do Paulinho Express,AUTOMOTIVO, Independência ,"Rua Hermogênio Veloso, 867","R$ 17.317,58",SIM,SIM,s,3.5,372,5,27.4
60,LAVA JATO ESTRELA EXPRESS,AUTOMOTIVO, Centro ,"Rua Rui Barbosa, 1332",26842.01,S,n,s,3.3,762,2,12.0
222,Utilidades Lar Doce Lar Jr.,Varejo Diverso, Centro ,"Rua Hermogênio Veloso, 793","R$ 26.954,85",1,sim ,1,3.5,275,8,23.3
146,STUDIO NAIL ART PRIME,Beleza e Estética,Centro,"Rua Pedro Nasciutti, 703","R$ 24.906,41",Nao,sim ,,,,1,21.5
156,Marmitaria Dona Cida Prime,Alimentação,Miranda,"Av. Coronel Teodolino Pereira de Araújo, 224",30957.37,n,SIM,não,,,3,7.6
69,Moto Peças Rosário,Automotivo,Bosque,"Rua Florestina Quintino, 1015",14781.66,Sim,N,SIM,3.8,30,1,9.3
158,assistência técnica cell+ prime,Serviços Gerais,Rosário,"Rua Pedro Nasciutti, 251",15195.17,sim ,N,Sim,,,6,23.0
157,Moto Peças Rosário Express,Automotivo,Centro,"Rua Rui Barbosa, 2354",495144.24,1,nao,1,4.2,599,,24.7
