id,nome,categoria,categoria_osm,bairro,bairro_fonte,endereco,latitude,longitude,tem_site,tem_telefone,tem_rede_social,tem_whatsapp,indice_presenca_digital,horario,fonte,osm_tipo,osm_id
12,Nuteninho,Alimentação,shop=confectionery,Centro,osm_tag,Praça Getúlio Vargas,-18.6534024,-48.1898684,0,1,1,0,50,Mo-Su 10:00-22:00,OpenStreetMap,node,11641195165
13,Oficina 87,Alimentação,amenity=restaurant,Centro,nominatim_reverse,Não informado,-18.6504278,-48.1883118,0,0,0,0,0,,OpenStreetMap,node,4124606589
14,Restaurante Napolitano,Alimentação,amenity=restaurant,Centro,nominatim_reverse,Não informado,-18.6484086,-48.1904849,0,0,0,0,0,,OpenStreetMap,node,3925546016
15,Rock N Burguer,Alimentação,amenity=restaurant,Centro,nominatim_reverse,Não informado,-18.648022,-48.1974368,0,0,0,0,0,,OpenStreetMap,node,5436124371
16,Supermercado Badião,Alimentação,shop=supermarket,Centro,osm_tag,Praça José Rodrigues Alves 57,-18.6490469,-48.1887166,0,0,0,0,0,,OpenStreetMap,node,3925506386
17,Supermercado Casa Lopes,Alimentação,shop=supermarket,Centro,osm_tag,Avenida Coronel Theodolino Pereira de Araújo 1830,-18.6533509,-48.1965472,0,0,0,0,0,,OpenStreetMap,way,396475616
18,Aramotos,Automotivo,shop=motorcycle,Centro,nominatim_reverse,Não informado,-18.6512401,-48.194262,0,0,0,0,0,,OpenStreetMap,node,3925767414
19,Chevrolet Autus - Araguari,Automotivo,shop=car,Centro,nominatim_reverse,Não informado,-18.6562265,-48.1992896,0,0,0,0,0,,OpenStreetMap,way,1493502861
20,Posto Eldorado,Automotivo,amenity=fuel,Centro,osm_tag,Não informado,-18.6568822,-48.2014561,0,0,0,0,0,,OpenStreetMap,node,3916224431
21,Posto Minas Gerais 2,Automotivo,amenity=fuel,Centro,nominatim_reverse,Não informado,-18.6550788,-48.1891664,0,0,0,0,0,,OpenStreetMap,node,3919485193
22,Triauto-Ford,Automotivo,shop=car,Centro,nominatim_reverse,Não informado,-18.6469988,-48.1935796,0,0,0,0,0,,OpenStreetMap,node,3925894761
23,CLIMA,Saúde,amenity=clinic,Centro,nominatim_reverse,Não informado,-18.6487005,-48.1877513,0,0,0,0,0,,OpenStreetMap,node,3925621803
24,Drogaria Central,Saúde,amenity=pharmacy,Centro,nominatim_reverse,Não informado,-18.6485903,-48.1914884,0,0,0,0,0,,OpenStreetMap,node,3925546026
25,Drogaria Nogueira,Saúde,amenity=pharmacy,Centro,nominatim_reverse,Não informado,-18.6451873,-48.1914403,0,0,0,0,0,,OpenStreetMap,node,3934336945
26,Banco Santander,Serviços Gerais,amenity=bank,Centro,nominatim_reverse,Não informado,-18.6517838,-48.1922627,0,0,0,0,0,,OpenStreetMap,node,5048646911
27,Banco do Brasil,Serviços Gerais,amenity=bank,Centro,osm_tag,Rua Rodolfo Paixão 189,-18.6512211,-48.1913109,0,1,0,0,30,Mo-Fr 08:00-14:00,OpenStreetMap,way,394615846
28,Caixa Econômica Federal,Serviços Gerais,amenity=bank,Centro,osm_tag,Avenida Tiradentes 381,-18.6523659,-48.1923543,0,0,0,0,0,Mo-Fr 10:00-15:00,OpenStreetMap,way,1106478590
29,Caixa Econômica Federal,Serviços Gerais,amenity=bank,Centro,nominatim_reverse,Não informado,-18.6523951,-48.1923145,0,0,0,0,0,,OpenStreetMap,way,1106478596
30,Fotogeraldo – Ateliê da Imagem,Serviços Gerais,shop=photo,Centro,osm_tag,Avenida Coronel Theodolino Pereira de Araújo 40,-18.6467082,-48.1826952,0,1,0,0,30,,OpenStreetMap,node,3914938622
31,Itaú,Serviços Gerais,amenity=bank,Centro,nominatim_reverse,Não informado,-18.6491265,-48.1909829,0,0,0,0,0,,OpenStreetMap,node,3925450979
32,Loteria Cascatinha,Serviços Gerais,shop=lottery,Centro,nominatim_reverse,Não informado,-18.6573002,-48.2009781,0,0,0,0,0,,OpenStreetMap,node,13683591987
33,Sicoob,Serviços Gerais,amenity=bank,Centro,nominatim_reverse,Não informado,-18.6546676,-48.1920282,0,0,0,0,0,,OpenStreetMap,node,3919480484
34,Claro,Tecnologia e Informática,shop=mobile_phone,Centro,nominatim_reverse,Não informado,-18.6573958,-48.2009024,0,0,0,0,0,,OpenStreetMap,node,13683591986
35,Compurtertec,Tecnologia e Informática,shop=computer,Centro,osm_tag,Avenida Coronel Theodolino Pereira de Araújo 253,-18.6465726,-48.1850337,0,0,0,0,0,,OpenStreetMap,node,3925717876
36,Moveral Moveis,Varejo Diverso,shop=furniture,Centro,osm_tag,Praça Getúlio Vargas 119,-18.6538154,-48.1898128,0,0,0,0,0,,OpenStreetMap,node,3919486634
37,Splash Piscinas,Varejo Diverso,shop=swimming_pool,Centro,nominatim_reverse,Não informado,-18.6566066,-48.2000045,0,0,0,0,0,,OpenStreetMap,node,13685467901
38,Adm do Brasil de Araguari,Serviços Gerais,office=company,Distrito Industrial,nominatim_reverse,Não informado,-18.6866197,-48.1504097,0,0,0,0,0,,OpenStreetMap,node,7846858185
39,Arroz Vasconcelos,Varejo Diverso,shop=department_store,Distrito Industrial,osm_tag,"BR-050, S/n, km 43 km 43",-18.6984066,-48.1850753,0,0,0,0,0,,OpenStreetMap,node,8554496994
40,BRASIL SEU APP,Varejo Diverso,shop=newsagent,Dos Industriários,nominatim_reverse,Rua Adolfo Carlos Carísio 776,-18.654437,-48.2030072,0,0,0,0,0,,OpenStreetMap,node,8487220018
41,Restaurante do Baixinho,Alimentação,amenity=restaurant,Florestina,nominatim_reverse,Não informado,-18.4239289,-48.0649495,0,0,0,0,0,,OpenStreetMap,node,8069925385
42,Tia Lúcia,Alimentação,amenity=restaurant,Florestina,nominatim_reverse,Não informado,-18.4253142,-48.0649856,0,0,0,0,0,,OpenStreetMap,node,6593632385
43,Delicias do Milho,Alimentação,shop=bakery,Goiás,nominatim_reverse,Não informado,-18.6442314,-48.2066617,0,0,0,0,0,,OpenStreetMap,way,708706722
44,Megatejotão 2,Alimentação,shop=supermarket,Goiás,nominatim_reverse,Não informado,-18.6438926,-48.2088594,0,0,0,0,0,Mo-Fr 07:00-21:00,OpenStreetMap,way,708706218
45,Auto Posto Melo Viana,Automotivo,amenity=fuel,Goiás,nominatim_reverse,Não informado,-18.6440094,-48.2083795,0,0,0,0,0,Mo-Su 06:00-21:00,OpenStreetMap,way,708706211
46,Moto Sol,Automotivo,shop=motorcycle,Goiás,nominatim_reverse,Não informado,-18.6384061,-48.2036796,0,0,0,0,0,,OpenStreetMap,node,10028208188
47,Moto Sol,Automotivo,shop=motorcycle,Goiás,nominatim_reverse,Não informado,-18.6383873,-48.2036815,0,0,0,0,0,,OpenStreetMap,way,1095006528
48,Posto Coopercitrus,Automotivo,amenity=fuel,Goiás,nominatim_reverse,Não informado,-18.6434955,-48.2101852,0,0,0,0,0,,OpenStreetMap,way,708706210
49,Lidia,Beleza e Estética,shop=beauty,Goiás,nominatim_reverse,Não informado,-18.6466518,-48.2018406,0,0,0,0,0,,OpenStreetMap,way,708706241
50,Madeireira Sabia,Construção e Reforma,shop=hardware,Goiás,nominatim_reverse,Não informado,-18.6446178,-48.2087107,0,0,0,0,0,Mo-Fr 08:00-17:00,OpenStreetMap,way,708706201
51,Centro de Saúde do Bairro Goiás,Saúde,amenity=clinic,Goiás,nominatim_reverse,Não informado,-18.6429096,-48.2030236,0,0,0,0,0,,OpenStreetMap,way,373206863
52,Agropaiva,Serviços Gerais,shop=pet,Goiás,nominatim_reverse,Não informado,-18.6455657,-48.2008083,0,0,0,0,0,,OpenStreetMap,way,708706242
53,Sicredi,Serviços Gerais,amenity=bank,Goiás,nominatim_reverse,Não informado,-18.6454376,-48.2011649,0,0,0,0,0,,OpenStreetMap,way,708706243
54,Araguaia Produtos Agropecuários,Varejo Diverso,shop=agrarian,Goiás,nominatim_reverse,Não informado,-18.6420698,-48.2141028,0,0,0,0,0,,OpenStreetMap,way,1493276194
55,Coopercitrus Shopping Rural,Varejo Diverso,shop=general,Goiás,nominatim_reverse,Não informado,-18.6437272,-48.2098475,0,0,0,0,0,Mo-Fr 08:00-17:00,OpenStreetMap,way,708706209
56,Frutería,Alimentação,shop=greengrocer,Independência,nominatim_reverse,Não informado,-18.6381329,-48.205079,0,0,0,0,0,,OpenStreetMap,node,5736833319
57,Garça Branca,Alimentação,shop=supermarket,Independência,nominatim_reverse,Não informado,-18.6381924,-48.2035429,0,0,0,0,0,,OpenStreetMap,way,1095010353
58,Gugu Lanches,Alimentação,amenity=fast_food,Independência,nominatim_reverse,Não informado,-18.6384052,-48.2036191,0,0,0,0,0,,OpenStreetMap,node,5736843764
59,Gugu Lanches,Alimentação,amenity=fast_food,Independência,nominatim_reverse,Não informado,-18.638416,-48.203617,0,0,0,0,0,,OpenStreetMap,way,1095007227
60,Supermercado Garça Branca,Alimentação,shop=supermarket,Independência,nominatim_reverse,Não informado,-18.6382374,-48.2035396,0,0,0,0,0,,OpenStreetMap,node,5729157065
61,Ana Lia Cabral,Beleza e Estética,shop=beauty,Independência,osm_tag,Rua das Araras 690,-18.6380662,-48.2046339,0,0,0,0,0,Mo-Sa 08:00-18:00,OpenStreetMap,node,5729143285
62,Ana Lia Cabral Cabeleireira,Beleza e Estética,shop=hairdresser,Independência,nominatim_reverse,Não informado,-18.6380567,-48.2046473,0,0,0,0,0,,OpenStreetMap,way,1094674264
63,Consigliere Barbearia,Beleza e Estética,shop=hairdresser,Independência,nominatim_reverse,Não informado,-18.6385157,-48.202949,0,0,0,0,0,,OpenStreetMap,node,10028197857
64,Consigliere Barbearia,Beleza e Estética,shop=hairdresser,Independência,nominatim_reverse,Não informado,-18.6385181,-48.2029486,0,0,0,0,0,,OpenStreetMap,way,1095004038
65,Cadeiras,Construção e Reforma,craft=metal_construction,Independência,nominatim_reverse,Não informado,-18.6384158,-48.2035531,0,0,0,0,0,,OpenStreetMap,node,10028235797
66,USF Independência,Saúde,amenity=clinic,Independência,nominatim_reverse,Não informado,-18.6370758,-48.2004907,0,0,0,0,0,,OpenStreetMap,way,1098130694
67,USF Independência,Saúde,amenity=clinic,Independência,nominatim_reverse,Não informado,-18.6371277,-48.2005278,0,0,0,0,0,,OpenStreetMap,way,1098130695
68,Bicicletaria,Serviços Gerais,shop=repair,Independência,nominatim_reverse,Não informado,-18.6376417,-48.204662,0,0,0,0,0,,OpenStreetMap,way,1095060733
69,Pet Mania,Serviços Gerais,shop=pet,Independência,nominatim_reverse,Não informado,-18.638524,-48.2028891,0,0,0,0,0,,OpenStreetMap,node,10028171560
70,Pet Mania,Serviços Gerais,shop=pet,Independência,nominatim_reverse,Não informado,-18.6385269,-48.2028866,0,0,0,0,0,,OpenStreetMap,way,1095004831
71,Drogaria Interlagos,Saúde,amenity=pharmacy,Jardim Interlagos,nominatim_reverse,Avenida Sebastião Naves de Resende Filho 10,-18.6279372,-48.169367,0,0,0,0,0,,OpenStreetMap,node,11994505917
72,Roger_fazendas corretor rural,Serviços Gerais,office=estate_agent,Jardim Interlagos,nominatim_reverse,Não informado,-18.6365712,-48.1721419,0,1,1,0,50,"""by appointment""",OpenStreetMap,node,12800916668
73,Posto Minas Gerais 1,Automotivo,amenity=fuel,Jardim Regina,nominatim_reverse,Não informado,-18.6662679,-48.1973482,0,0,0,0,0,,OpenStreetMap,node,3910229271
74,Drogasil,Saúde,amenity=pharmacy,Maria Eugênia,nominatim_reverse,Não informado,-18.6568858,-48.2024275,0,0,0,0,0,,OpenStreetMap,node,13683591985
75,Mega Tejotão,Alimentação,shop=supermarket,Miranda,nominatim_reverse,Não informado,-18.6403836,-48.1848808,0,0,0,0,0,,OpenStreetMap,node,10082555118
76,Supermercado União 2,Alimentação,shop=supermarket,Miranda,osm_tag,Avenida Mato Grosso 900,-18.6403263,-48.1827748,0,0,0,0,0,,OpenStreetMap,way,397540460
77,Posto Brasileirão,Automotivo,amenity=fuel,Novo Horizonte,nominatim_reverse,Não informado,-18.661735,-48.1617284,0,0,0,0,0,,OpenStreetMap,node,5082013406
78,Posto Vitoria,Automotivo,amenity=fuel,Novo Horizonte,nominatim_reverse,Não informado,-18.6693609,-48.1694939,0,0,0,0,0,,OpenStreetMap,node,6356658039
79,Fogão Caipira,Alimentação,amenity=restaurant,Não informado,,BR-050,-18.6950576,-48.1840029,0,1,0,0,30,11:00-21:00,OpenStreetMap,node,3258173573
80,Porteira da Serra,Alimentação,amenity=restaurant,Não informado,,Não informado,-18.648373499999998,-48.1303671,0,0,0,0,0,,OpenStreetMap,node,9216432123
81,Pizzaria & Esfiharia Estouro do norte,Alimentação,amenity=fast_food,Ouro Verde,osm_tag,Rua Seis Ouro Verde 621,-18.6310389,-48.1795483,0,0,0,0,0,,OpenStreetMap,node,8511709149
82,Restaurante Boiadeiro,Alimentação,amenity=restaurant,Piracaíba,nominatim_reverse,Não informado,-18.5792954,-48.2800395,0,0,0,0,0,,OpenStreetMap,way,1125185065
83,Posto da Serra,Automotivo,amenity=fuel,Piracaíba,nominatim_reverse,Não informado,-18.4296011,-48.5444232,0,0,0,0,0,,OpenStreetMap,node,5051758739
84,Pizzaria Bella Donna,Alimentação,amenity=restaurant,Rosário,nominatim_reverse,Não informado,-18.6457503,-48.1833799,0,0,0,0,0,,OpenStreetMap,way,1102548750
85,Supermercados BH,Alimentação,shop=supermarket,Rosário,nominatim_reverse,Não informado,-18.6454042,-48.1864758,0,0,0,0,0,,OpenStreetMap,way,1493276211
86,IBGE - Instituto Brasileiro de Geografia e Estatística,Outros (government),office=government,Rosário,osm_tag,Rua Quinca Mariano 666,-18.6425979,-48.1891091,0,0,0,0,0,Mo-Fr 08:00-18:00,OpenStreetMap,node,6380905514
87,Supermercado União,Alimentação,shop=supermarket,Santa Helena,osm_tag,Avenida Bahia 839,-18.6578583,-48.2013458,0,0,0,0,0,,OpenStreetMap,way,395900108
88,Araguaia Auto Posto,Automotivo,amenity=fuel,Sewa,nominatim_reverse,Não informado,-18.6402687,-48.2208854,0,0,0,0,0,,OpenStreetMap,way,527850282
